tweet_id,lang,tweet_text,date,metrics
1189090599988805632,de,b'RT @VCSbeiderBasel: Mehr grn. mehr Platz fr Fuss- und Veloverkehr sogar eine Autospur. Und schon haben wir die Strasse als Lebensraum wi',2019-10-29 08:04:25+00:00,"{'retweet_count': 11, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1187425189920989189,de,b'Der #Verkehr kann und muss einen gewichtigen Teil dazu beitragen die #Klimaerhitzung zu stoppen. In der  ist er rund 40% der Treibhausgas-#Emissionen verantwortlich. Das Thema stand im Mittelpunkt unserer Fachtagung heute in Bern.  Medienmitteilung: https://t.co/oadSjEiM9N',2019-10-24 17:46:41+00:00,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 6, 'quote_count': 0}"
1187353005508775936,de,b'Podiumsdiskussion zum Thema Wie weiter in der Klimapolitik. Martin Kyburz (Kyburz Switzerland) @andrisilbi_ (@Jungfreisinnige) @adelethorens (@LesVertsSuisses) und Julian Seiler (@Klimastreik) diskutieren ber die #Klimapolitik. #fossilfrei #mobilitaet https://t.co/rE87YgS1X7',2019-10-24 12:59:51+00:00,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 5, 'quote_count': 1}"
1187325262079377408,de,b'Der Schweizermeister im #PoetrySlam von 2016 @RemoZumstein gibt seinen Kommentar zur fossilfreien Mobilitt ab. #fossilfrei #mobilitaet https://t.co/FgYSZJ8Yk1',2019-10-24 11:09:36+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}"
1187283075371286528,de,b'Fachtagung fossilfreie Mobilitt: Um die #Klimaerhitzung zu bekmpfen muss die Mobilitt ohne fossile Energie auskommen. Wie diese Herausforderung bewltigt werden kann diskutieren ExpertInnen an der Fachtagung. Spannender Auftakt mit @Knutti_ETH #fossilfrei #mobilitaet https://t.co/3s9rAu1jvd',2019-10-24 08:21:58+00:00,"{'retweet_count': 5, 'reply_count': 1, 'like_count': 15, 'quote_count': 0}"
1186225378588811264,de,b'RT @liip: https://t.co/Br6FF4Y8fU der Umweltallianz und von @liip gewinnt den Open Data #DINAconAwards. Der Faktenchecker fr Wahlversprech',2019-10-21 10:19:03+00:00,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1185821901198901248,de,b'Es ist Zeit das Ruder rumzureissen. Wir erwarten vom neuen Parlament einen Kurswechsel in der Umweltpolitik. Wenn du noch nicht gewhlt hast tu es jetzt. #WahlCH19 #whleUmwelt #umweltrating https://t.co/tYqhugoePd\nhttps://t.co/dUqtJNpadW',2019-10-20 07:35:47+00:00,"{'retweet_count': 1, 'reply_count': 2, 'like_count': 2, 'quote_count': 1}"
1185301692394475520,de,b'RT @hannesgassert: Yes! \n\nEin IT-Preis fr ein grnes #civictech Projekt. \nUnd drei Frauen auf der Bhne. \nGeht doch.\n\nGratulation an die #',2019-10-18 21:08:39+00:00,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1185229153601310720,de,b'RT @andreasamsler:  #Umweltallianz: @verkehrsclub @pronaturach @WWF_Schweiz @greenpeace_ch -  meinen ehemaligen Kolleg*innen @liip -',2019-10-18 16:20:25+00:00,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1184118369139777538,de,b'Whle fr die Umwelt! \n Max Spring #WahlCH19 #Klima https://t.co/UK4kVnkea0',2019-10-15 14:46:33+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 1}"
